iter	RMSE
0	769.0258611
1	695.1951599
2	629.8042184
3	572.2054384
4	521.8070712
5	477.1899248
6	438.4773524
7	404.9176675
8	375.6124997
9	349.9754723
10	328.0778078
11	309.0105719
12	292.8432066
13	278.8287883
14	266.9504873
15	256.8688685
16	248.5058885
17	240.9271742
18	234.7203266
19	229.6845649
20	225.276358
21	221.6952056
22	218.4753124
23	215.5926566
24	213.1722177
25	211.0699441
26	209.3090769
27	207.3324646
28	205.5934132
29	203.8425097
30	202.425185
31	201.402203
32	200.1464298
33	199.1751621
34	198.2054019
35	197.4998555
36	196.6192545
37	195.8499881
38	194.9174
39	194.4051444
40	193.7503646
41	193.2245295
42	192.5359475
43	191.8314453
44	191.1838763
45	190.7066267
46	190.2161286
47	189.8079296
48	189.4232458
49	188.9774362
50	188.5780902
51	188.2592558
52	187.8410174
53	187.5877273
54	187.2390783
55	186.9666007
56	186.6885964
57	186.300258
58	186.0081353
59	185.4951062
60	185.2999426
61	184.931221
62	184.6444891
63	184.462381
64	184.0943313
65	183.9090167
66	183.5556381
67	183.3193858
68	183.1005188
69	182.8432214
70	182.6375753
71	182.3701702
72	182.2004257
73	181.9709868
74	181.6114588
75	181.4009369
76	181.1788223
77	180.8940744
78	180.7616266
79	180.5184643
80	180.3228768
81	180.0770378
82	179.8911819
83	179.6894904
84	179.2203789
85	178.986585
86	178.8107834
87	178.6129761
88	178.4796741
89	178.3673333
90	178.230412
91	178.0547685
92	177.8864391
93	177.7261036
94	177.4947287
95	177.3392258
96	177.2092118
97	177.0443519
98	176.9337771
99	176.77746
100	176.639197
101	176.4893989
102	176.3674872
103	176.1881096
104	175.9768636
105	175.6821155
106	175.4658101
107	175.3102277
108	175.1509067
109	174.9663891
110	174.6431927
111	174.3515492
112	174.1955169
113	174.0816001
114	173.907584
115	173.7816636
116	173.6276744
117	173.4499784
118	173.3352819
119	173.2426015
120	173.0827438
121	172.9162532
122	172.7837723
123	172.7042701
124	172.4851723
125	172.3515768
126	172.235545
127	172.1167413
128	171.978677
129	171.8321939
130	171.7429953
131	171.5997333
132	171.4645058
133	171.3598735
134	171.2241774
135	171.1043112
136	170.9087361
137	170.7905197
138	170.6987153
139	170.5814109
140	170.4020765
141	170.2691226
142	170.1350761
143	170.0350978
144	169.9384714
145	169.7665107
146	169.6545744
147	169.6031219
148	169.4512785
149	169.3053991
150	169.1331325
151	169.0556497
152	168.968492
153	168.8912534
154	168.7393097
155	168.6209239
156	168.5154904
157	168.39317
158	168.2782038
159	168.1571192
160	168.0699895
161	167.930081
162	167.8348678
163	167.7196165
164	167.6546333
165	167.5569334
166	167.4539544
167	167.359004
168	167.2786708
169	167.2203738
170	167.1154204
171	167.065458
172	167.0061519
173	166.9131011
174	166.8337415
175	166.7297469
176	166.6753631
177	166.6012694
178	166.4979905
179	166.4034157
180	166.2820011
181	166.1515652
182	166.0505947
183	165.9515267
184	165.8799439
185	165.8110921
186	165.7092026
187	165.6314533
188	165.5271591
189	165.4558364
190	165.3307491
191	165.2426361
192	165.1685917
193	165.0557662
194	164.9994391
195	164.9439893
196	164.8732406
197	164.7757523
198	164.6983215
199	164.6273508
200	164.5642487
201	164.4852415
202	164.4123924
203	164.3619774
204	164.3039118
205	164.2555279
206	164.1756112
207	164.1301049
208	164.0343778
209	163.9249679
210	163.8474101
211	163.7686186
212	163.6955667
213	163.6210192
214	163.5168045
215	163.4385344
216	163.4040163
217	163.328303
218	163.2690527
219	163.1714422
220	163.0900767
221	163.0044524
222	162.9417449
223	162.8717811
224	162.81985
225	162.7775954
226	162.7173632
227	162.6524693
228	162.5925414
229	162.5445555
230	162.4974373
231	162.4245475
232	162.3736829
233	162.3040985
234	162.2430986
235	162.1879322
236	162.1480765
237	162.0795343
238	162.0262441
239	161.9759144
240	161.9350107
241	161.9037656
242	161.8662756
243	161.8286914
244	161.7580451
245	161.6703484
246	161.6181393
247	161.5125075
248	161.450306
249	161.3877805
250	161.3009211
251	161.2524426
252	161.1656966
253	161.112429
254	161.0857676
255	161.0379344
256	160.9965876
257	160.9522297
258	160.8753794
259	160.8342399
260	160.7788911
261	160.7340249
262	160.6800769
263	160.6163224
264	160.5813009
265	160.5246606
266	160.4505709
267	160.4103076
268	160.3744079
269	160.3154938
270	160.2174593
271	160.1970531
272	160.1559534
273	160.0995052
274	160.0518864
275	160.0117059
276	159.9614689
277	159.9248578
278	159.8706443
279	159.8234409
280	159.7766645
281	159.7483302
282	159.696282
283	159.6347553
284	159.5832562
285	159.5341974
286	159.486291
287	159.4558832
288	159.3831288
289	159.3215663
290	159.2809074
291	159.2407234
292	159.2016931
293	159.1721389
294	159.1156945
295	159.0909374
296	159.0489907
297	159.0044053
298	158.9540854
299	158.9067421
300	158.868316
301	158.8296667
302	158.7705449
303	158.7109094
304	158.6780708
305	158.6343351
306	158.5850879
307	158.5449611
308	158.4882716
309	158.4399726
