iter	Passed	Remaining
0	184	183836
1	213	106339
2	240	79773
3	265	66097
4	292	58172
5	318	52808
6	343	48735
7	369	45848
8	396	43616
9	422	41799
10	449	40404
11	476	39206
12	502	38172
13	527	37158
14	553	36368
15	580	35705
16	606	35094
17	633	34575
18	659	34060
19	684	33541
20	709	33068
21	734	32646
22	760	32293
23	789	32098
24	814	31770
25	841	31512
26	869	31324
27	899	31210
28	923	30923
29	952	30797
30	979	30627
31	1008	30503
32	1038	30426
33	1065	30264
34	1095	30196
35	1122	30054
36	1151	29966
37	1178	29825
38	1208	29776
39	1234	29636
40	1262	29521
41	1286	29354
42	1314	29264
43	1344	29215
44	1372	29129
45	1400	29050
46	1428	28960
47	1458	28922
48	1484	28809
49	1513	28750
50	1538	28634
51	1566	28562
52	1594	28496
53	1621	28414
54	1648	28328
55	1675	28246
56	1702	28172
57	1733	28146
58	1758	28047
59	1789	28029
60	1816	27967
61	1855	28077
62	1884	28032
63	1912	27964
64	1943	27959
65	1973	27928
66	2000	27864
67	2026	27770
68	2052	27687
69	2077	27601
70	2102	27511
71	2129	27450
72	2155	27368
73	2181	27302
74	2209	27245
75	2234	27162
76	2261	27113
77	2289	27059
78	2314	26977
79	2337	26881
80	2362	26809
81	2388	26743
82	2418	26714
83	2446	26675
84	2473	26621
85	2499	26566
86	2527	26520
87	2554	26474
88	2578	26392
89	2610	26400
90	2640	26375
91	2667	26322
92	2695	26285
93	2720	26221
94	2744	26148
95	2770	26088
96	2796	26034
97	2826	26016
98	2853	25970
99	2882	25940
100	2914	25938
101	2942	25903
102	2970	25868
103	2998	25829
104	3029	25824
105	3057	25786
106	3084	25742
107	3113	25715
108	3141	25677
109	3172	25666
110	3204	25667
111	3234	25641
112	3264	25628
113	3293	25596
114	3321	25559
115	3348	25517
116	3376	25482
117	3404	25450
118	3433	25417
119	3459	25372
120	3488	25339
121	3517	25316
122	3545	25277
123	3572	25234
124	3602	25215
125	3630	25184
126	3658	25151
127	3690	25138
128	3717	25103
129	3748	25088
130	3774	25040
131	3804	25018
132	3835	25002
133	3864	24973
134	3891	24934
135	3921	24913
136	3946	24860
137	3972	24812
138	3997	24760
139	4025	24726
140	4053	24697
141	4080	24656
142	4107	24615
143	4134	24577
144	4160	24533
145	4189	24504
146	4215	24458
147	4237	24396
148	4264	24358
149	4293	24327
150	4318	24278
151	4346	24248
152	4372	24205
153	4396	24153
154	4423	24117
155	4451	24082
156	4479	24052
157	4504	24005
158	4529	23958
159	4556	23923
160	4584	23888
161	4614	23868
162	4642	23838
163	4667	23793
164	4692	23744
165	4721	23722
166	4746	23675
167	4771	23631
168	4803	23617
169	4832	23594
170	4863	23577
171	4889	23539
172	4920	23520
173	4947	23484
174	4975	23457
175	5003	23423
176	5031	23392
177	5060	23369
178	5092	23356
179	5119	23321
180	5148	23296
181	5178	23276
182	5207	23248
183	5240	23241
184	5268	23208
185	5297	23182
186	5330	23173
187	5357	23139
188	5388	23120
189	5415	23087
190	5443	23054
191	5469	23018
192	5496	22984
193	5524	22954
194	5551	22917
195	5577	22878
196	5606	22854
197	5634	22821
198	5668	22815
199	5696	22787
200	5724	22755
201	5753	22730
202	5783	22705
203	5811	22677
204	5842	22655
205	5871	22632
206	5900	22606
207	5926	22564
208	5950	22520
209	5979	22493
210	6004	22451
211	6031	22420
212	6058	22383
213	6086	22356
214	6114	22326
215	6141	22291
216	6164	22245
217	6191	22209
218	6220	22182
219	6249	22158
220	6279	22133
221	6305	22098
222	6330	22058
223	6356	22019
224	6383	21986
225	6408	21947
226	6438	21924
227	6464	21889
228	6492	21858
229	6519	21826
230	6545	21790
231	6570	21750
232	6594	21709
233	6621	21674
234	6648	21641
235	6674	21608
236	6701	21574
237	6726	21537
238	6753	21504
239	6782	21477
240	6808	21441
241	6835	21408
242	6862	21377
243	6891	21351
244	6918	21320
245	6946	21290
246	6972	21256
247	7005	21243
248	7035	21219
249	7064	21193
250	7095	21173
251	7124	21148
252	7154	21122
253	7185	21103
254	7212	21070
255	7240	21043
256	7272	21024
257	7299	20993
258	7331	20975
259	7360	20947
260	7388	20919
261	7417	20893
262	7445	20865
263	7473	20835
264	7501	20805
265	7532	20785
266	7563	20765
267	7591	20735
268	7617	20701
269	7645	20671
270	7676	20650
271	7702	20615
272	7728	20580
273	7758	20558
274	7785	20524
275	7813	20496
276	7842	20470
277	7869	20437
278	7897	20408
279	7923	20374
280	7952	20348
281	7978	20314
282	8007	20286
283	8032	20251
284	8056	20212
285	8087	20189
286	8112	20155
287	8140	20125
288	8166	20091
289	8192	20058
290	8218	20023
291	8245	19993
292	8272	19960
293	8297	19924
294	8323	19891
295	8348	19856
296	8371	19815
297	8396	19780
298	8426	19756
299	8457	19733
300	8482	19699
301	8509	19667
302	8537	19639
303	8563	19605
304	8587	19568
305	8614	19538
306	8639	19502
307	8666	19471
308	8692	19438
309	8720	19410
310	8748	19382
311	8777	19356
312	8804	19325
313	8836	19304
314	8865	19279
315	8893	19250
316	8919	19218
317	8952	19200
318	8982	19175
319	9011	19148
320	9046	19135
321	9075	19109
322	9103	19080
323	9134	19058
324	9165	19036
325	9203	19028
326	9233	19003
327	9260	18972
328	9288	18943
329	9315	18913
330	9341	18881
331	9372	18857
332	9398	18825
333	9427	18797
334	9459	18777
335	9489	18752
336	9521	18732
337	9545	18696
338	9577	18675
339	9605	18645
340	9632	18615
341	9662	18589
342	9688	18557
343	9719	18534
344	9749	18509
345	9777	18480
346	9806	18453
347	9837	18431
348	9862	18397
349	9889	18366
350	9918	18339
351	9942	18304
352	9970	18274
353	9994	18238
354	10024	18213
355	10047	18176
356	10073	18143
357	10098	18109
358	10125	18079
359	10153	18050
360	10178	18016
361	10203	17983
362	10229	17951
363	10254	17918
364	10280	17885
365	10307	17854
366	10330	17818
367	10357	17788
368	10384	17758
369	10411	17728
370	10437	17695
371	10462	17662
372	10488	17631
373	10512	17596
374	10538	17564
375	10567	17537
376	10592	17504
377	10620	17476
378	10650	17450
379	10675	17418
380	10702	17388
381	10732	17362
382	10760	17334
383	10787	17304
384	10816	17277
385	10842	17246
386	10872	17221
387	10899	17192
388	10928	17165
389	10956	17137
390	10987	17113
391	11015	17084
392	11046	17061
393	11072	17029
394	11101	17004
395	11129	16975
396	11158	16947
397	11186	16919
398	11213	16890
399	11245	16867
400	11274	16841
401	11304	16815
